Year,Код,Найменування1,Найменування2,Найменування3,Найменування4,Всього
2014,0111010,"Апарат Верховної Ради України","Апарат Верховної Ради України","Здійснення законотворчої діяльності Верховної Ради України","Здійснення законотворчої діяльності Верховної Ради України",506585300
2014,0111020,"Апарат Верховної Ради України","Апарат Верховної Ради України","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",305352500
2014,0111070,"Апарат Верховної Ради України","Апарат Верховної Ради України","Фінансова підтримка санаторно-курортного комплексу Управління справами Верховної Ради України","Фінансова підтримка санаторно-курортного комплексу Управління справами Верховної Ради України",81479200
2014,0111090,"Апарат Верховної Ради України","Апарат Верховної Ради України","Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України"" і журналу ""Віче""","Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України"" і журналу ""Віче""",26624900
2014,0301010,"Державне управління справами","Апарат Державного управління справами","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України",313816300
2014,0301050,"Державне управління справами","Апарат Державного управління справами","Виготовлення державних нагород та пам'ятних знаків","Виготовлення державних нагород та пам'ятних знаків",3138700
2014,0301060,"Державне управління справами","Апарат Державного управління справами","Фінансова підтримка санаторно-курортних закладів","Фінансова підтримка санаторно-курортних закладів",102852000
2014,0301080,"Державне управління справами","Апарат Державного управління справами","Фундаментальні і прикладні розробки та дослідження у сфері державного управління, стратегічних проблем внутрішньої і зовнішньої політики та з питань посередництва і примирення при вирішенні колективних трудових спорів (конфліктів)","Фундаментальні і прикладні розробки та дослідження у сфері державного управління, стратегічних проблем внутрішньої і зовнішньої політики та з питань посередництва і примирення при вирішенні колективних трудових спорів (конфліктів)",49912700
2014,0301110,"Державне управління справами","Апарат Державного управління справами","Оздоровлення і відпочинок дітей в дитячих закладах оздоровлення","Оздоровлення і відпочинок дітей в дитячих закладах оздоровлення",10859600
2014,0301130,"Державне управління справами","Апарат Державного управління справами","Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики","Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики",175725600
2014,0301140,"Державне управління справами","Апарат Державного управління справами","Збереження природно-заповідного фонду в національних природних парках та заповідниках ","Збереження природно-заповідного фонду в національних природних парках та заповідниках ",45710100
2014,0301170,"Державне управління справами","Апарат Державного управління справами","Надання  медичних  послуг  медичними  закладами ","Надання  медичних  послуг  медичними  закладами ",392202700
2014,0301360,"Державне управління справами","Апарат Державного управління справами","Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал"", інформаційного бюлетеня ""Офіційний вісник Президента України""","Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал"", інформаційного бюлетеня ""Офіційний вісник Президента України""",16974600
