Рівень,Тип,Назва,Рік,Документ,Дата
Державний,Бюджет,Україна,2016,http://zakon3.rada.gov.ua/laws/show/928-19/page2,24 грудня 2015
Державний,Бюджет,Україна,2015,http://zakon3.rada.gov.ua/laws/show/80-19,24 грудня 2015
Державний,Виконання,Україна,2015,http://www.treasury.gov.ua/main/uk/doccatalog/list?currDir=264515,оперативна інформація
Державний,Бюджет,Україна,2014,http://zakon4.rada.gov.ua/laws/show/719-18,25 грудня 2014
Державний,Виконання,Україна,2014,http://www.treasury.gov.ua/main/uk/doccatalog/list?currDir=257806,01 квітня 2015
Обласний,Бюджет,Одеська,2016,http://oblrada.odessa.gov.ua/wp-content/uploads/49-VII.pdf,21 грудня 2015
Міський,Бюджет,Львів,2016,http://www8.city-adm.lviv.ua/inteam/uhvaly.nsf/(SearchForWeb)/E04D9D3D9344317CC2257F300053EFA0?OpenDocument,24 грудня 2015
Міський,Бюджет,Львів,2015,http://www8.city-adm.lviv.ua/inteam/uhvaly.nsf/(SearchForWeb)/909A31A6B178D576C2257DDB0031913A?OpenDocument,19 січня 2015
Міський,Бюджет,Львів,2014,http://www8.city-adm.lviv.ua/inteam/uhvaly.nsf/(SearchForWeb)/0647B2EDB2F66319C2257C7C004304A9?OpenDocument,6 лютого 2014
Міський,Виконання,Львів,2014,http://www8.city-adm.lviv.ua/inteam/uhvaly.nsf/(SearchForWeb)/703CB2C138B94DC6C2257DFD00551801?OpenDocument,26 лютого 2015
Міський,Бюджет,Одеса,2016,http://omr.gov.ua/ru/67025/,18 листопада 2015
Міський,Бюджет,Одеса,2015,http://omr.gov.ua/ru/acts/council/67004/,16 грудня 2015
Міський,Виконання,Одеса,2015,http://omr.gov.ua/ru/news/79118/,16 грудня 2015
Міський,Бюджет,Одеса,2014,http://omr.gov.ua/ru/acts/council/57231/,4 грудня 2014
Міський,Виконання,Одеса,2014,http://omr.gov.ua/ru/acts/council/66397/,24 грудня 2014
